feature,mae_increase,mae_increase_sd,baseline_mae,share_pct
roc_5min,3.1131442917717815,0.1468434600905501,14.89161475499471,37.803698934930004
roc_30min,0.4277688132392032,0.07066128167142274,14.89161475499471,5.194504948642651
minutes_since_bolus,0.4022482236226394,0.06910745604702506,14.89161475499471,4.884601970789543
is_night,0.3396484057108555,0.023188673045694795,14.89161475499471,4.124436540625151
glucose_mean_1h,0.321378072102864,0.028096570673987763,14.89161475499471,3.9025752562051625
glucose_mean_2h,0.29632801479763415,0.03661447193290907,14.89161475499471,3.598386071279623
glucose_std_1h,0.25161812040540826,0.05627998413654619,14.89161475499471,3.055462509566304
roc_15min,0.23297558890448636,0.07253738302490867,14.89161475499471,2.8290815319455387
hour_sin,0.22703101899888742,0.0543263661229929,14.89161475499471,2.756895115272572
glucose_max_1h,0.2267502678765183,0.1168039778020055,14.89161475499471,2.7534858833478784
glucose_mg_dl,0.2222213215298119,0.00793646972424114,14.89161475499471,2.698489741782625
insulin_sc_2_u,0.18442598978678384,0.011677750633151405,14.89161475499471,2.239531464090311
carbs_gut_g,0.18269544177585098,0.035646056376924515,14.89161475499471,2.218516981667938
carbs_stomach_g,0.18140972985161596,0.0499477428512783,14.89161475499471,2.202904256414793
minutes_since_meal,0.18018166224161666,0.01299829012458492,14.89161475499471,2.187991520656654
iob_u,0.17889669206407297,0.027106058036761468,14.89161475499471,2.172387802621285
cob_g,0.17876482009887695,0.027699537538994717,14.89161475499471,2.170786447976913
insulin_sc_1_u,0.1731808450486921,0.008857829423596622,14.89161475499471,2.1029788258839432
basal_u_per_min,0.1585708194308809,0.022111328086598686,14.89161475499471,1.9255655876517335
insulin_action_per_min,0.15560791227552548,0.017212064447565307,14.89161475499471,1.8895862562827213
hour_cos,0.13915819591946033,0.015715633125254185,14.89161475499471,1.6898331878710537
glucose_appearance_mgdl_per_min,0.13721789254082495,0.036993397828315136,14.89161475499471,1.666271592938808
insulin_plasma_uU_mL,0.1264950434366856,0.028676467441844287,14.89161475499471,1.5360613227855853
basis_skin_temperature,0.11733611424763939,0.021486480931684374,14.89161475499471,1.424842127920708
glucose_min_1h,0.07997232013278459,0.0050281811226691436,14.89161475499471,0.971124120850502
sleeping,0.0,0.0,14.89161475499471,0.0
exercise_intensity,0.0,0.0,14.89161475499471,0.0
basis_heart_rate_available,0.0,0.0,14.89161475499471,0.0
working,0.0,0.0,14.89161475499471,0.0
basis_heart_rate,0.0,0.0,14.89161475499471,0.0
glucose_interpolated,0.0,0.0,14.89161475499471,0.0
basis_skin_temperature_available,0.0,0.0,14.89161475499471,0.0
basis_gsr_available,0.0,0.0,14.89161475499471,0.0
basis_gsr,-0.0005921787685826038,0.025036199604600844,14.89161475499471,0.0
bolus_u_per_min,-0.003392113579645084,0.019352386111924552,14.89161475499471,0.0
