method,protocol,horizon_min,rmse_mean,rmse_sd,rmse_pooled,n_subjects,n_windows
persistence,loso,30,23.36868283131805,2.854496014209007,23.444349444186187,12.0,26498.0
persistence,loso,60,38.15286819676475,4.582552040210087,38.273971230697384,12.0,26498.0
persistence,loso,90,48.68793805773989,5.583206728746338,48.845156726018075,12.0,26498.0
persistence,loso,120,56.4335629882953,6.213558073701292,56.61666063221495,12.0,26498.0
loso-a7,loso,30,20.72879182315884,2.271560454290747,20.784261821856205,12.0,26498.0
loso-a7,loso,60,33.9626038438618,3.377573081428218,34.03652254177184,12.0,26498.0
loso-a7,loso,90,43.1905403484829,4.3029703330609195,43.314893424569,12.0,26498.0
loso-a7,loso,120,49.35802758103106,5.079236504879301,49.53535222084457,12.0,26498.0
