method,protocol,horizon_min,mae_mean,mae_sd,mae_pooled,n_subjects,n_windows
persistence,official,30,16.866317178265536,1.9221840569722763,16.84970563816137,12.0,26498.0
persistence,official,60,28.217514973960345,3.2372049391733406,28.184145973281,12.0,26498.0
persistence,official,90,36.55069291217356,3.998949542140485,36.507730143155456,12.0,26498.0
persistence,official,120,42.904752132636844,4.460737144758195,42.88808589327496,12.0,26498.0
small-fast,official,30,13.649324109266347,1.6210598690424158,13.627471656923124,12.0,26498.0
small-fast,official,60,23.122279144869054,2.970275134591741,23.066630880070935,12.0,26498.0
small-fast,official,90,30.023417083286617,4.102798918681226,29.94498103738722,12.0,26498.0
small-fast,official,120,34.82938184462706,4.704342160863426,34.75189492689707,12.0,26498.0
