epoch,train_loss,val_mae_30,val_mae_mean,seconds,prior_gate,physics_ramp,fold
1,104.76731282739966,15.408592224121094,26.794824600219727,64.82906103134155,0.11065658926963806,0.0,official
2,79.14476619106485,15.195097923278809,26.394268035888672,32.26906156539917,0.11743871867656708,0.0,official
3,63.977762046149664,14.620062828063965,25.96718978881836,70.5144989490509,0.12346167117357254,0.1464466094067262,official
4,52.123838560562334,14.538311004638672,25.93723487854004,69.13341736793518,0.13288451731204987,0.49999999999999994,official
5,42.922696367731824,14.447803497314453,25.947534561157227,70.79449534416199,0.14534388482570648,0.8535533905932737,official
6,35.53617287185387,14.562746047973633,26.083919525146484,69.4349570274353,0.16071867942810059,1.0,official
7,29.711499513611002,14.72386646270752,26.451881408691406,69.44561076164246,0.17804333567619324,1.0,official
8,24.93129550561427,14.849608421325684,26.787443161010742,31.877018451690674,0.19571813941001892,1.0,official
9,21.092629862963996,14.734469413757324,26.613962173461914,25.250598907470703,0.21527166664600372,1.0,official
10,17.85828990231718,14.86723804473877,26.963111877441406,24.079591989517212,0.2357577532529831,1.0,official
11,15.25964385915872,15.138344764709473,27.57990264892578,23.889014720916748,0.25730592012405396,1.0,official
12,13.096555578991731,15.280738830566406,27.771230697631836,24.39242124557495,0.28011563420295715,1.0,official
13,11.323198426681962,15.155832290649414,27.62696075439453,25.87678098678589,0.30175891518592834,1.0,official
14,9.87165347504427,15.232995986938477,27.819454193115234,25.057069540023804,0.3242966830730438,1.0,official
15,8.636012781893044,15.209882736206055,27.665245056152344,26.579509258270264,0.34680676460266113,1.0,official
16,7.583871490408059,15.317788124084473,28.05099868774414,24.5143461227417,0.369326651096344,1.0,official
17,6.716309040391665,15.420543670654297,28.232542037963867,24.07994270324707,0.3908570408821106,1.0,official
