method,protocol,horizon_min,rmse_mean,rmse_sd,rmse_pooled,n_subjects,n_windows
persistence,official,30,23.36868283131805,2.854496014209007,23.444349444186187,12.0,26498.0
persistence,official,60,38.15286819676475,4.582552040210087,38.273971230697384,12.0,26498.0
persistence,official,90,48.68793805773989,5.583206728746338,48.845156726018075,12.0,26498.0
persistence,official,120,56.4335629882953,6.213558073701292,56.61666063221495,12.0,26498.0
small-fast,official,30,19.375518753262636,2.4748637332472474,19.453256759548385,12.0,26498.0
small-fast,official,60,31.6969148025475,3.921344207478581,31.817466089040288,12.0,26498.0
small-fast,official,90,40.409504102829985,5.273153310171654,40.598230735546124,12.0,26498.0
small-fast,official,120,46.216558529400224,6.0373731648439355,46.47267542763063,12.0,26498.0
