method,horizon_min,metric,mean,sd
persistence,30.0,mae,16.866317178265536,1.9221840569722763
persistence,60.0,mae,28.217514973960345,3.2372049391733406
persistence,90.0,mae,36.55069291217356,3.998949542140485
persistence,120.0,mae,42.90475213263685,4.460737144758195
small-fast,30.0,mae,13.649324109266349,1.6210598690424158
small-fast,60.0,mae,23.12227914486905,2.970275134591741
small-fast,90.0,mae,30.023417083286617,4.102798918681226
small-fast,120.0,mae,34.82938184462706,4.704342160863426
