grid,horizon_min,zone,percent,n
parkes,30,A,90.2898331949581,23925
parkes,30,B,9.551664276549173,2531
parkes,30,C,0.15850252849271643,42
parkes,30,D,0.0,0
parkes,30,E,0.0,0
