method,horizon_min,metric,mean,sd
persistence,30.0,rmse,23.36868283131805,2.854496014209007
persistence,60.0,rmse,38.15286819676475,4.582552040210087
persistence,90.0,rmse,48.68793805773989,5.583206728746338
persistence,120.0,rmse,56.4335629882953,6.213558073701292
small-fast,30.0,rmse,19.37551875326264,2.4748637332472474
small-fast,60.0,rmse,31.6969148025475,3.921344207478581
small-fast,90.0,rmse,40.40950410282999,5.273153310171654
small-fast,120.0,rmse,46.216558529400224,6.037373164843936
