method,protocol,horizon_min,mae_mean,mae_sd,mae_pooled,n_subjects,n_windows
persistence,loso,30,16.866317178265536,1.9221840569722763,16.84970563816137,12.0,26498.0
persistence,loso,60,28.217514973960345,3.2372049391733406,28.184145973281,12.0,26498.0
persistence,loso,90,36.55069291217356,3.998949542140485,36.507730143155456,12.0,26498.0
persistence,loso,120,42.904752132636844,4.460737144758195,42.88808589327496,12.0,26498.0
loso-a7,loso,30,14.65535873642107,1.6118131733030008,14.648564609979916,12.0,26498.0
loso-a7,loso,60,24.852863311089994,2.595307689195264,24.831597124120318,12.0,26498.0
loso-a7,loso,90,32.28328250991718,3.3314483358637865,32.27642528209446,12.0,26498.0
loso-a7,loso,120,37.55765906193935,4.009436350944387,37.55050571507009,12.0,26498.0
