method,protocol,horizon_min,mae_mean,mae_sd,mae_pooled,n_subjects,n_windows
persistence,official,30,16.866317178265536,1.9221840569722763,16.84970563816137,12.0,26498.0
persistence,official,60,28.217514973960345,3.2372049391733406,28.184145973281,12.0,26498.0
persistence,official,90,36.55069291217356,3.998949542140485,36.507730143155456,12.0,26498.0
persistence,official,120,42.904752132636844,4.460737144758195,42.88808589327496,12.0,26498.0
abl-A2,official,30,13.577056969341823,1.6645420845501435,13.546389474321,12.0,26498.0
abl-A2,official,60,23.351383789207617,3.056405764459078,23.263988264966205,12.0,26498.0
abl-A2,official,90,30.59232438462767,4.1042593367116424,30.460690621367327,12.0,26498.0
abl-A2,official,120,35.74079417413856,4.683948906471572,35.60020151396717,12.0,26498.0
