method,protocol,horizon_min,mae_mean,mae_sd,mae_pooled,n_subjects,n_windows
persistence,official,30,16.866317178265536,1.9221840569722763,16.84970563816137,12.0,26498.0
persistence,official,60,28.217514973960345,3.2372049391733406,28.184145973281,12.0,26498.0
persistence,official,90,36.55069291217356,3.998949542140485,36.507730143155456,12.0,26498.0
persistence,official,120,42.904752132636844,4.460737144758195,42.88808589327496,12.0,26498.0
abl-A0,official,30,13.511366397830999,1.6324096846085812,13.491791433420296,12.0,26498.0
abl-A0,official,60,22.818946725526136,2.875626728817573,22.7706301410798,12.0,26498.0
abl-A0,official,90,29.739954677567955,3.739181338662821,29.668520206972847,12.0,26498.0
abl-A0,official,120,34.93414586386655,4.197263065743145,34.87404410665787,12.0,26498.0
