method,protocol,horizon_min,mae_mean,mae_sd,mae_pooled,n_subjects,n_windows
persistence,official,30,16.866317178265536,1.9221840569722763,16.84970563816137,12.0,26498.0
persistence,official,60,28.217514973960345,3.2372049391733406,28.184145973281,12.0,26498.0
persistence,official,90,36.55069291217356,3.998949542140485,36.507730143155456,12.0,26498.0
persistence,official,120,42.904752132636844,4.460737144758195,42.88808589327496,12.0,26498.0
abl-A7,official,30,13.245947991490572,1.6855880700492394,13.22939857611324,12.0,26498.0
abl-A7,official,60,22.290313220311816,2.926256658627142,22.247553406233912,12.0,26498.0
abl-A7,official,90,28.771772657778403,3.7533680806740155,28.714057629833096,12.0,26498.0
abl-A7,official,120,33.38002180176473,4.20934355603738,33.33423875159016,12.0,26498.0
