method,protocol,horizon_min,mae_mean,mae_sd,mae_pooled,n_subjects,n_windows
persistence,official,30,16.866317178265536,1.9221840569722763,16.84970563816137,12.0,26498.0
persistence,official,60,28.217514973960345,3.2372049391733406,28.184145973281,12.0,26498.0
persistence,official,90,36.55069291217356,3.998949542140485,36.507730143155456,12.0,26498.0
persistence,official,120,42.904752132636844,4.460737144758195,42.88808589327496,12.0,26498.0
abl-A4,official,30,13.583917696312442,1.8161574731003758,13.52973929436956,12.0,26498.0
abl-A4,official,60,23.34889458265131,3.4007264657029745,23.224066085262617,12.0,26498.0
abl-A4,official,90,30.5698589291954,4.406207013510532,30.42744531213261,12.0,26498.0
abl-A4,official,120,35.59121481256214,4.642787639732098,35.475652473289045,12.0,26498.0
