method,horizon_min,metric,mean,sd
persistence,30.0,rmse,23.36868283131805,2.854496014209007
persistence,60.0,rmse,38.15286819676475,4.582552040210087
persistence,90.0,rmse,48.68793805773989,5.583206728746338
persistence,120.0,rmse,56.4335629882953,6.213558073701292
quantile,30.0,rmse,18.835969826360927,2.5837971395670967
quantile,60.0,rmse,30.52284944502397,3.9775740606091934
quantile,90.0,rmse,38.6026588398932,5.049673872475566
quantile,120.0,rmse,44.461812784887,5.624737318556892
