grid,horizon_min,zone,percent,n
parkes,30,A,90.84459204468261,24072
parkes,30,B,8.970488338742546,2377
parkes,30,C,0.18491961657483583,49
parkes,30,D,0.0,0
parkes,30,E,0.0,0
