method,horizon_min,metric,mean,sd
persistence,30.0,mae,16.866317178265536,1.9221840569722763
persistence,60.0,mae,28.217514973960345,3.2372049391733406
persistence,90.0,mae,36.55069291217356,3.998949542140485
persistence,120.0,mae,42.90475213263685,4.460737144758195
quantile,30.0,mae,13.079836814381023,1.726785810567565
quantile,60.0,mae,21.98360103295739,2.9567885556299034
quantile,90.0,mae,28.42091789170261,3.88705077504875
quantile,120.0,mae,33.23261227496406,4.447742941328466
