method,protocol,horizon_min,mae_mean,mae_sd,mae_pooled,n_subjects,n_windows
persistence,official,30,16.866317178265536,1.9221840569722763,16.84970563816137,12.0,26498.0
persistence,official,60,28.217514973960345,3.2372049391733406,28.184145973281,12.0,26498.0
persistence,official,90,36.55069291217356,3.998949542140485,36.507730143155456,12.0,26498.0
persistence,official,120,42.904752132636844,4.460737144758195,42.88808589327496,12.0,26498.0
abl-A1,official,30,13.675176395275598,1.6817442109982466,13.642793802092486,12.0,26498.0
abl-A1,official,60,23.470331120794793,2.889025150198165,23.388132118802673,12.0,26498.0
abl-A1,official,90,30.926854954229402,3.7770634867901602,30.814493053066872,12.0,26498.0
abl-A1,official,120,36.22393560733364,4.255526868956924,36.13799327522397,12.0,26498.0
