method,protocol,horizon_min,mae_mean,mae_sd,mae_pooled,n_subjects,n_windows
persistence,official,30,16.866317178265536,1.9221840569722763,16.84970563816137,12.0,26498.0
persistence,official,60,28.217514973960345,3.2372049391733406,28.184145973281,12.0,26498.0
persistence,official,90,36.55069291217356,3.998949542140485,36.507730143155456,12.0,26498.0
persistence,official,120,42.904752132636844,4.460737144758195,42.88808589327496,12.0,26498.0
quantile,official,30,13.079836814381025,1.726785810567565,13.064120564823178,12.0,26498.0
quantile,official,60,21.98360103295739,2.9567885556299034,21.924860259309536,12.0,26498.0
quantile,official,90,28.420917891702615,3.88705077504875,28.335826205077176,12.0,26498.0
quantile,official,120,33.23261227496406,4.447742941328466,33.14596570660118,12.0,26498.0
