epoch,train_loss,val_mae_30,val_mae_mean,seconds,prior_gate,physics_ramp,fold
1,113.09920030659296,15.235167503356934,26.46276092529297,30.058550596237183,0.11087742447853088,1.0,official
2,86.13172586486333,14.760882377624512,25.940216064453125,23.397663593292236,0.118658646941185,1.0,official
3,71.09599606154147,14.328758239746094,25.69050407409668,23.22404408454895,0.12767383456230164,1.0,official
4,59.73708465294347,14.498624801635742,25.844619750976562,23.427857637405396,0.13770079612731934,1.0,official
5,50.67359361673722,14.545256614685059,26.099830627441406,23.492337465286255,0.14916583895683289,1.0,official
6,43.497480679313234,14.652470588684082,26.355560302734375,22.797515630722046,0.16141892969608307,1.0,official
7,37.980316182239704,14.81432056427002,26.67142105102539,23.08386492729187,0.1744832694530487,1.0,official
8,33.47058332438205,15.059253692626953,27.17159080505371,23.260827779769897,0.18777480721473694,1.0,official
9,29.813938296879186,14.920910835266113,26.90979766845703,22.95422101020813,0.20171913504600525,1.0,official
10,26.83834597806503,15.014979362487793,26.972970962524414,23.21250867843628,0.21567146480083466,1.0,official
11,24.414452268454518,15.222299575805664,27.670116424560547,22.7698917388916,0.22945146262645721,1.0,official
