method,protocol,horizon_min,rmse_mean,rmse_sd,rmse_pooled,n_subjects,n_windows
persistence,official,30,23.36868283131805,2.854496014209007,23.444349444186187,12.0,26498.0
persistence,official,60,38.15286819676475,4.582552040210087,38.273971230697384,12.0,26498.0
persistence,official,90,48.68793805773989,5.583206728746338,48.845156726018075,12.0,26498.0
persistence,official,120,56.4335629882953,6.213558073701292,56.61666063221495,12.0,26498.0
quantile,official,30,18.835969826360927,2.5837971395670967,18.92694390317195,12.0,26498.0
quantile,official,60,30.52284944502397,3.9775740606091934,30.618702266033328,12.0,26498.0
quantile,official,90,38.6026588398932,5.049673872475566,38.73648173082977,12.0,26498.0
quantile,official,120,44.461812784886995,5.624737318556892,44.63966442221781,12.0,26498.0
